iter	Passed	Remaining
0	8	8029
1	14	7265
2	20	6846
3	26	6655
4	34	6877
5	43	7147
6	50	7110
7	56	7009
8	65	7193
9	71	7090
10	78	7077
11	83	6852
12	89	6799
13	95	6703
14	98	6491
15	103	6395
16	110	6371
17	116	6330
18	121	6294
19	129	6341
20	135	6326
21	140	6239
22	145	6193
23	151	6170
24	158	6173
25	164	6163
26	170	6152
27	177	6172
28	184	6167
29	191	6199
30	197	6161
31	202	6112
32	211	6193
33	217	6191
34	230	6343
35	244	6543
36	254	6618
37	261	6610
38	272	6716
39	279	6712
40	289	6772
41	297	6774
42	303	6760
43	308	6708
44	314	6669
45	321	6671
46	327	6644
47	334	6637
48	339	6588
49	344	6548
50	351	6536
51	356	6508
52	363	6487
53	369	6467
54	374	6437
55	384	6473
56	389	6438
57	392	6376
58	395	6303
59	398	6248
60	401	6176
61	403	6111
62	406	6043
63	408	5976
64	410	5910
65	413	5857
66	416	5796
67	419	5748
68	422	5694
69	424	5639
70	426	5585
71	430	5545
72	433	5503
73	437	5470
74	440	5435
75	443	5391
76	447	5359
77	450	5329
78	453	5286
79	455	5242
80	458	5199
81	461	5162
82	463	5122
83	466	5082
84	468	5043
85	470	5005
86	473	4967
87	475	4929
88	478	4899
89	481	4864
90	483	4830
91	485	4796
92	488	4765
93	491	4736
94	494	4709
95	496	4677
96	499	4646
97	501	4616
98	504	4587
99	507	4565
100	510	4540
101	512	4513
102	515	4485
103	517	4458
104	519	4432
105	522	4406
106	525	4385
107	527	4360
108	530	4335
109	532	4311
110	535	4287
111	537	4262
112	540	4243
113	543	4221
114	545	4198
115	548	4176
116	550	4156
117	553	4135
118	556	4117
119	559	4103
120	562	4085
121	564	4065
122	567	4045
123	569	4024
124	573	4011
125	575	3994
126	578	3975
127	580	3956
128	583	3937
129	585	3919
130	588	3902
131	590	3884
132	593	3867
133	595	3849
134	598	3832
135	600	3817
136	603	3804
137	606	3788
138	608	3771
139	612	3760
140	614	3745
141	617	3729
142	620	3717
143	623	3703
144	625	3687
145	628	3677
146	631	3664
147	634	3652
148	637	3642
149	640	3628
150	642	3614
151	645	3598
152	647	3584
153	650	3570
154	653	3560
155	656	3551
156	658	3537
157	661	3523
158	663	3509
159	666	3496
160	668	3485
161	671	3474
162	673	3460
163	676	3447
164	678	3434
165	681	3421
166	683	3409
167	685	3396
168	688	3384
169	691	3373
170	693	3361
171	695	3349
172	698	3338
173	700	3326
174	703	3314
175	705	3302
176	707	3290
177	710	3279
178	712	3267
179	715	3258
180	717	3248
181	720	3237
182	722	3225
183	724	3214
184	727	3203
185	729	3193
186	732	3184
187	736	3181
188	740	3176
189	742	3166
190	745	3155
191	749	3155
192	753	3149
193	755	3139
194	757	3129
195	760	3118
196	763	3112
197	766	3104
198	768	3094
199	771	3084
200	773	3074
201	775	3064
202	778	3057
203	781	3049
204	783	3039
205	786	3030
206	788	3019
207	790	3010
208	793	3001
209	796	2994
210	798	2985
211	800	2976
212	803	2967
213	805	2960
214	809	2955
215	812	2947
216	814	2938
217	816	2929
218	819	2920
219	822	2915
220	825	2910
221	829	2905
222	832	2899
223	834	2891
224	836	2882
225	839	2874
226	842	2868
227	845	2861
228	847	2853
229	849	2845
230	852	2837
231	854	2829
232	857	2823
233	861	2819
234	864	2813
235	866	2805
236	869	2797
237	871	2790
238	874	2784
239	877	2777
240	879	2769
241	882	2763
242	884	2756
243	887	2748
244	889	2741
245	892	2734
246	894	2727
247	896	2719
248	899	2712
249	901	2705
250	904	2697
251	907	2693
252	910	2687
253	912	2679
254	914	2672
255	916	2664
256	919	2657
257	922	2651
258	924	2645
259	926	2638
260	929	2630
261	931	2623
262	933	2616
263	936	2609
264	938	2604
265	941	2598
266	944	2592
267	946	2585
268	948	2578
269	951	2572
270	954	2566
271	957	2562
272	959	2556
273	962	2549
274	964	2542
275	966	2536
276	969	2531
277	972	2526
278	974	2519
279	977	2513
280	979	2506
281	982	2500
282	985	2496
283	988	2491
284	990	2485
285	992	2478
286	995	2472
287	997	2466
288	1000	2460
289	1005	2460
290	1007	2455
291	1010	2449
292	1012	2442
293	1014	2436
294	1019	2437
295	1022	2432
296	1025	2428
297	1028	2421
298	1030	2415
299	1034	2413
300	1037	2409
301	1040	2404
302	1042	2398
303	1044	2392
304	1047	2387
305	1050	2383
306	1054	2379
307	1056	2373
308	1058	2368
309	1061	2362
310	1064	2357
311	1066	2352
312	1069	2347
313	1071	2341
314	1074	2336
315	1076	2330
316	1079	2326
317	1082	2321
318	1084	2315
319	1087	2309
320	1089	2304
321	1091	2299
322	1094	2293
323	1097	2290
324	1100	2285
325	1102	2279
326	1105	2274
327	1107	2268
328	1109	2263
329	1112	2259
330	1115	2254
331	1117	2249
332	1120	2243
333	1122	2238
334	1124	2233
335	1127	2228
336	1130	2224
337	1132	2218
338	1135	2214
339	1138	2210
340	1141	2205
341	1144	2201
342	1147	2197
343	1149	2192
344	1152	2187
345	1154	2182
346	1156	2177
347	1159	2172
348	1163	2169
349	1165	2165
350	1168	2160
351	1170	2155
